name,recclass,mass (g),year,reclat,reclong
Farmington,L5,89400,01/01/1890 12:00:00 AM,39.750000,-97.033330
Farmville,H4,56000,01/01/1934 12:00:00 AM,35.550000,-77.533330
Favars,H5,1500,01/01/1844 12:00:00 AM,44.383330,2.816670
Fayetteville,H4,2360,01/01/1934 12:00:00 AM,36.050000,-94.166670
Feid Chair,H4,380,01/01/1875 12:00:00 AM,36.883330,8.450000
Felix,CO3.3,3200,01/01/1900 12:00:00 AM,32.533330,-87.166670
Fenghsien-Ku,H5,82,01/01/1924 12:00:00 AM,34.600000,116.750000
Ferguson,OC,220,01/01/1889 12:00:00 AM,36.100000,-81.416670
Fermo,H3-5,10200,01/01/1996 12:00:00 AM,43.181110,13.753330
Fisher,L6,17600,01/01/1894 12:00:00 AM,47.816670,-96.850000
Florence,H3,3640,01/01/1922 12:00:00 AM,30.833330,-97.766670
Forest City,H5,152000,01/01/1890 12:00:00 AM,43.250000,-93.666670
Forest Vale,H4,26000,01/01/1942 12:00:00 AM,-33.350000,146.858330
Forksville,L6,6067,01/01/1924 12:00:00 AM,36.783330,-78.083330
Forsbach,H6,240,01/01/1900 12:00:00 AM,50.950000,7.316670
Forsyth,L6,16300,01/01/1829 12:00:00 AM,33.016670,-83.966670
Fort Flatters,Stone-uncl,,01/01/1944 12:00:00 AM,28.250000,7.000000
Frankfort (stone),Howardite,650,01/01/1868 12:00:00 AM,34.483330,-87.833330
Fuhe,L5,23000,01/01/1945 12:00:00 AM,31.475560,113.566940
Fukutomi,L5,11620,01/01/1882 12:00:00 AM,33.183330,130.200000
Fünen,Stone-uncl,,01/01/1654 12:00:00 AM,55.333330,10.333330
Futtehpur,L6,4000,01/01/1822 12:00:00 AM,25.950000,80.816670
Fuyang,Stone-uncl,2500,01/01/1977 12:00:00 AM,32.900000,115.900000
Galapian,H6,132.69999999999999,01/01/1826 12:00:00 AM,44.300000,0.400000
Galim (a),LL6,36.1,01/01/1952 12:00:00 AM,7.050000,12.433330
Galim (b),EH3/4-an,28,01/01/1952 12:00:00 AM,7.050000,12.433330
Galkiv,H4,5000,01/01/1995 12:00:00 AM,51.683330,30.783330
Gambat,L6,6400,01/01/1897 12:00:00 AM,27.350000,68.533330
Gao-Guenie,H5,,01/01/1960 12:00:00 AM,11.650000,-2.183330
Garhi Yasin,"Iron, IIE",380,01/01/1917 12:00:00 AM,27.883330,68.533330
Garland,Diogenite-pm,102,01/01/1950 12:00:00 AM,41.683330,-112.133330
Gashua,L6,4162,01/01/1984 12:00:00 AM,12.850000,11.033330
Gasseltepaoua,H5,,01/01/2000 12:00:00 AM,14.150830,-2.041670
Geidam,H5,725,01/01/1950 12:00:00 AM,12.916670,11.916670
Gifu,L6,14290,01/01/1909 12:00:00 AM,35.533330,136.883330
